0;1
2021-04-29 23:59:50+00:00;Win $10 Amazon gift card in the #Aprilofbookshop @anajoleneauthor https://t.co/ob4e2VzVAF https://t.co/hHIPPYxuOg https://t.co/T5KFDdA7Pg
2021-04-29 23:59:49+00:00;About to start refreshing Amazon Prime like crazy right now
2021-04-29 23:59:48+00:00;@HungryBartender I have one De10nano untouched for the $140 Amazon price. Was keeping it for the misterCade jamma device upcoming but no drama if you want it
2021-04-29 23:59:40+00:00;Stainless Steel Kitchen Cooking Tongs 2-Pack Only $7.99 on Amazon (Regularly $15) https://t.co/6z9djNNRoF
2021-04-29 23:59:38+00:00;#Follow multi-genre #romance author Karen Docter on Amazon https://t.co/YnuDhKi4jM https://t.co/gBccMkzAhK
2021-04-29 23:59:37+00:00;Apple's AirPods Max get a first-time price cut in a rare deal from Amazon https://t.co/pCq1bBy634
2021-04-29 23:59:37+00:00;"Assassin's Creed Origins 

Get it here on Amazon ==&gt; https://t.co/0UwxMPObTu

#AssassinsCreed https://t.co/Lx1bMyKkXe"
2021-04-29 23:59:34+00:00;With Instacart and Amazon I never have to leave my house when I need something😭
2021-04-29 23:59:33+00:00;Amazon Avoids Recovery Blues – WSJ https://t.co/UCfqmL0E2m
2021-04-29 23:59:30+00:00;@amazon broke the Yeelight skill a few nights ago. Still can't control my lights other than by flipping the switch or using the Yeelight app. Tempted to sell my Echos and switch everything to HomeKit and HomePods after this nonsense.
2021-04-29 23:59:29+00:00;@DNMNKB @WholeMarsBlog Amazon was in that, hmmmm, smooth.
2021-04-29 23:59:24+00:00;"@Shut_downAmazon @mybitchmother11 Get screwed by amazon, or screwed by the union...

between a rock &amp; a hard place."
2021-04-29 23:59:22+00:00;Union's evidence in Amazon vote 'could be grounds for overturning election', U.S. Labor Board says https://t.co/rYhHj2eg5N
2021-04-29 23:59:22+00:00;@DCaamal Amazon? 🤷🏻‍♀️
2021-04-29 23:59:19+00:00;Amazon when I impulse buy a funko pop that's on sale vs when I order a tie I need for an event https://t.co/c1ysOcFeOB
2021-04-29 23:59:18+00:00;Bruh Them on Amazon has me SHOOOOOOOOOOOK
2021-04-29 23:59:18+00:00;@Arkry_ if we’re talking about physical games i’d say get them both on ps4 because they’re like 20 each on amazon lp lol
2021-04-29 23:59:16+00:00;#WIN a $25 Amazon gift card thanks to The Tillman Crush by @kelgendron https://t.co/m3lbpLzEIF https://t.co/GcmDKUinFJ
2021-04-29 23:59:14+00:00;@RBReich They do in the UK and EU, maybe they're taking advantage of the US lack of worker centric legislation. Not defending Amazon at all, over here we still bemoan their employment practices, but at least there's a veneer if legal protection.
2021-04-29 23:59:13+00:00;@GavinNewsom This doesn't help my friends who had to close their business because of your unscientific Covid policies. But hey, Amazon had record revenues, so all good. PPP loan won't be taxed?  Since when do loans get taxed? Or is not a loan?  Incompetence.
2021-04-29 23:59:12+00:00;Speaking of, did Amazon ask y'all if you thought they cared about their impact on society, or something to that effect? 😅 https://t.co/zCzRcHJw7z
2021-04-29 23:59:10+00:00;@Super_Rio8896 Got the singers off Amazon
2021-04-29 23:59:00+00:00;Amazon to raise pay for 500,000 workers. https://t.co/EEZyE1VEsN https://t.co/RDnOm38L9o
2021-04-29 23:58:52+00:00;"APANY is ready to help victims of the volcanic eruption on St. Vincent and the Grenadines : 1000 BAGS OF ESSENTIAL CHILDREN’S ITEMS.
Pls Shop Our Amazon Registry:
https://t.co/YZhYsx7bLi
Learn More at https://t.co/zhui4BniwH
#stvincentandthegrenadines🇻🇨 #anguilla #fundraiser 🇦🇮 https://t.co/Xexd03zp7m"
2021-04-29 23:58:50+00:00;"@holmanwrites ""Slice of Life"" X Epic Fantasy

In a world where dragons are hated and feared, Silmavalien's life is changed forever when she meets the dragon hatchling, Minth.

B&amp;N:https://t.co/zEY7okBDj9

Amazon:https://t.co/GQxzeM8agY"
2021-04-29 23:58:47+00:00;@tittylikemine Right Amazon here I come!
