0;1
2021-04-29 23:48:50+00:00;@TCS @tech_mahindra @Infosys @Wipro @CapgeminiIndia @nasscom @Cognizant @Cyient as we are running out of beds for treatment and IT companies are currently vacant due to WFH, would it be possible to convert some office space into covid treatment centers. #ITcompanies #tcs #infy
2021-04-29 23:44:35+00:00;"Glassdoor Review of Happiest Minds Technologies. This number speaks volumes and perhaps explains it's unparalleled performance.

I've started inoculating this metric to better understand companies.

FYI -TCS at 3.9, Infosys- 3.8, Wipro -3.8, Tech Mahindra- 3.6

#happiestminds https://t.co/KqUvzy8i0i"
2021-04-29 22:56:32+00:00;"Top 10 Companies In India To Work &amp; Grow Your #Career @LinkedIn  #Jobs
India Headcount
@Accenture -537,000
@TCS -469,000
#EYGlobal- 284,000
@Cognizant - 204,500
@Infosys -158,020
@Wipro -156,480
HDFC - 116,970
@amazon -100,000
L&amp;T -52,000
@Deloitte -12,000
https://t.co/sDBLdaNoen https://t.co/lgv0A5ixcS"
2021-04-29 22:34:00+00:00;"@cbic_india @Infosys_GSTN @askGST_GoI Tomorrow is a Last date for GSTR-4, 20-21 and the same return is not showing on portal
#extendlastdates https://t.co/6SY42kaWX5"
2021-04-29 22:33:34+00:00;"Infosys Launches Blockchain Framework for Financial Services
https://t.co/1jfVVlD3Ka"
2021-04-29 21:40:02+00:00;Automate Your AWS DevOps Validation Pipeline with the Infosys Cloud Infrastructure Validation Solution https://t.co/7AFjy3C745 #AWS #Amazon #AWSPartnerNetwork #CustomerSolutions
2021-04-29 20:59:28+00:00;@TVMohandasPai Take the balance sheets of ten small companies. Add them together. Then compare that to the balance sheet of Infosys. So clever, where did you learn statistics from paimaam? Your poor teacher must be regretting the horrible job he or she did decades back.
2021-04-29 20:44:49+00:00;@free_thinker @mukeshmarda Cream layer of sw engineers are with Infosys tcs .....
2021-04-29 19:49:49+00:00;"@rvd12 @sudhirgparmar @cbic_india @Infosys_GSTN @nsitharaman @FinMinIndia @GST_Council @ianuragthakur @aarchanay @SKHalakhandi Who is even listening??

They are bothered about late fees only."
2021-04-29 19:45:26+00:00;@Infosys_GSTN Please provide the filers of the return the adequate infa. Health insurance. Medical facilities to move out. Atleast make these time barred services as essentials otherwise there will be a time when only the corporates providing these  services will file the returs @Infosys_GSTN
2021-04-29 19:43:06+00:00;"We are Thankful to Tata - Ambani - Adani and All Big Corporates Who Have come Forwards go Help Nation in this Covid 19 Pandemic Time ! 

Nation is Thankful to You !
@gautam_adani @RNTata2000 @anandmahindra @udaykotak @hvgoenka @AdityaBirlaGrp @ril_foundation @Wipro @Infosys"
2021-04-29 19:35:02+00:00;@Infosys_GSTN one more option will be available in 2024.
2021-04-29 19:31:12+00:00;@toryboypierce @mailplus Follow the money to Infosys
